province,in_total,in_share,out_total,out_share,net_total,net_share
Aceh,232693,4.4,307845,5.7,-75152,-1.4
Sumatera Utara,586721,4,2341095,14.4,-1754374,-11.4
Sumatera Barat,405024,7.5,1232335,19.7,-827311,-14.2
Riau,1998658,28.8,409949,7.7,1588709,25.9
Jambi,688349,19.1,210704,6.7,477645,14.2
Sumatera Selatan,974161,11.5,896299,10.7,77862,0.9
Bengkulu,372758,18.8,149944,8.5,222814,11.9
Lampung,1402046,16.6,880446,11.1,521600,6.4
Kep. Bangka Belitung,218732,14.8,100921,7.4,117811,8.3
Kepulauan Riau,1010257,46.4,140139,10.7,870118,50
DKI Jakarta,3745690,35.6,3308356,32.8,437334,4.2
Jawa Barat,5698359,11.6,2651834,5.8,3046525,6.4
Jawa Tengah,1143288,3.3,6943718,17.2,-5800430,-15.4
DI Yogyakarta,686699,17.9,878536,21.8,-191837,-4.9
Jawa Timur,1064004,2.7,3770731,8.9,-2706727,-6.6
Banten,2898000,22.5,776720,7.2,2121280,18
Bali,478193,11.1,269820,6.6,208373,-4.9
Nusa Tenggara Barat,138284,2.7,225514,4.4,-87230,-1.7
Nusa Tenggara Timur,190887,3.5,315743,5.7,-124856,-2.3
Kalimantan Barat,288219,5.7,222267,4.5,65952,1.3
Kalimantan Tengah,586253,21.7,116561,5.2,469692,19
Kalimantan Selatan,519467,12.3,331233,8.2,188234,4.6
Kalimantan Timur,1232356,33.3,197624,7.4,1034732,32.5
Kalimantan Utara,264477,35.9,45852,8.9,218625,34.9
Sulawesi Utara,209210,8.4,188132,7.6,21078,0.8
Sulawesi Tengah,481187,15.8,165604,6.1,315583,10.9
Sulawesi Selatan,402000,4.6,1565848,15.7,-1163848,-12.4
Sulawesi Tenggara,461531,17.1,235652,9.6,225879,8.8
Gorontalo,83545,7,122281,9.9,-38736,-3.2
Sulawesi Barat,191357,13.9,107920,8.4,83437,6.3
Maluku,157436,8.8,220388,11.9,-62952,-3.4
Maluku Utara,123650,9.9,73664,6.1,49986,4.1
Papua Barat,301820,31.6,63433,8.9,238387,28.6
Papua,546443,16.2,117867,4,428576,13.6
