province,men,women,total
Aceh,2647563,2627308,5274871
Sumatera Utara,7422046,7377315,14799361
Sumatera Barat,2786360,2748112,5534472
Riau,3276658,3117429,6394087
Jambi,1810015,1738213,3548228
Sumatera Selatan,4320078,4147354,8467432
Bengkulu,1029137,981533,2010670
Lampung,4616805,4391043,9007848
Kepulauan Bangka Belitung,749548,706130,1455678
Kepulauan Riau,1053296,1011268,2064564
DKI Jakarta,5334781,5227307,10562088
Jawa Barat,24508885,23765277,48274162
Jawa Tengah,18362143,18153892,36516035
DI Yogyakarta,1817927,1850792,3668719
Jawa Timur,20291592,20374104,40665696
Banten,6070271,5834291,11904562
Bali,2171105,2146299,4317404
Nusa Tenggara Barat,2656208,2663884,5320092
Nusa Tenggara Timur,2663771,2661795,5325566
Kalimantan Barat,2784113,2630277,5414390
Kalimantan Tengah,1385705,1284264,2669969
Kalimantan Selatan,2062383,2011201,4073584
Kalimantan Timur,1961634,1804405,3766039
Kalimantan Utara,370650,331164,701814
Sulawesi Utara,1341918,1280005,2621923
Sulawesi Tengah,1534706,1451028,2985734
Sulawesi Selatan,4504641,4568868,9073509
Sulawesi Tenggara,1330594,1294281,2624875
Gorontalo,591349,580332,1171681
Sulawesi Barat,720187,699042,1419229
Maluku,936478,912445,1848923
Maluku Utara,657411,625526,1282937
Papua Barat,597128,536940,1134068
Papua,2294813,2008894,4303707
INDONESIA,136661899,133542018,270203917
