province,island,year,population,grdp,migrant_incoming_share,grdp_per_capita
Aceh,Sumatra,2020,5274871,131585017.16,4.4,24.94563699472461
Sumatera Utara,Sumatra,2020,14799361,533746358.26,4,36.06550027801876
Sumatera Barat,Sumatra,2020,5534472,169458114.32,7.5,30.61865961558754
Riau,Sumatra,2020,6394087,490024472.54,28.8,76.63712935717015
Jambi,Sumatra,2020,3548228,148449872.96,19.1,41.8377491412615
Sumatera Selatan,Sumatra,2020,8467432,315143007.33,11.5,37.21825074355483
Bengkulu,Sumatra,2020,2010670,46338435.83,18.8,23.04626608543421
Lampung,Sumatra,2020,9007848,240306857.37,16.6,26.677499150740555
Kepulauan Bangka Belitung,Sumatra,2020,1455678,52702457.85,14.8,36.204749848524195
Kepulauan Riau,Sumatra,2020,2064564,174976703.11,46.4,84.75237537320228
DKI Jakarta,Java,2020,10562088,1792794592.02,35.6,169.73865319243694
Jawa Barat,Java,2020,48274162,1455235139.77,11.6,30.145218052050286
Jawa Tengah,Java,2020,36516035,965629085.08,3.3,26.44397413574612
DI Yogyakarta,Java,2020,3668719,101679600.17,17.9,27.715287044333458
Jawa Timur,Java,2020,40665696,1610419646.78,2.7,39.60142835819163
Banten,Java,2020,11904562,441295798.57,22.5,37.06946955041269
Bali,Bali & Nusa Tenggara,2020,4317404,147549798.09,11.1,34.17558284793362
Nusa Tenggara Barat,Bali & Nusa Tenggara,2020,5320092,93269133.91,2.7,17.531488912221818
Nusa Tenggara Timur,Bali & Nusa Tenggara,2020,5325566,68806665.28,3.5,12.920066201414084
Kalimantan Barat,Kalimantan,2020,5414390,134743381.07,5.7,24.88616096550119
Kalimantan Tengah,Kalimantan,2020,2669969,98956716.64,21.7,37.06287100711656
Kalimantan Selatan,Kalimantan,2020,4073584,130865594.99,12.3,32.12541952982926
Kalimantan Timur,Kalimantan,2020,3766039,472864886.33,33.3,125.56027336148138
Kalimantan Utara,Kalimantan,2020,701814,60743197.35,35.9,86.55170365652438
Sulawesi Utara,Sulawesi,2020,2621923,88126373.99,8.4,33.611350901609235
Sulawesi Tengah,Sulawesi,2020,2985734,134152694.81,15.8,44.931227902418634
Sulawesi Selatan,Sulawesi,2020,9073509,328192824.94,4.6,36.17044132980967
Sulawesi Tenggara,Sulawesi,2020,2624875,93446717.48,17.1,35.6004447754655
Gorontalo,Sulawesi,2020,1171681,28422294.58,7,24.25770715749423
Sulawesi Barat,Sulawesi,2020,1419229,32082449.24,13.9,22.6055479700598
Maluku,Maluku & Papua,2020,1848923,30765024.95,8.8,16.63943006279872
Maluku Utara,Maluku & Papua,2020,1282937,27868472.68,9.9,21.72240155206374
Papua Barat,Maluku & Papua,2020,1134068,61592386.57,31.6,54.31101712595717
Papua,Maluku & Papua,2020,4303707,137677571.32,16.2,31.990461088545292
