island,year,population_island,population_share
Sumatra,1971,20808148,17.455294969611536
Sumatra,1980,28016160,18.99525621678519
Sumatra,1990,36506703,20.351721210358768
Sumatra,1995,40830334,20.964994096577065
Sumatra,2000,43309707,20.997159982788126
Sumatra,2010,50630931,21.305608688616726
Sumatra,2020,58557211,21.671488574312562
Java,1971,76086327,63.82640497075081
Java,1980,91269528,61.88171645025763
Java,1990,107581306,59.97432162412193
Java,1995,114733486,58.91176047371318
Java,2000,121352608,58.83346485129937
Java,2010,136610590,57.48604095905441
Java,2020,151591262,56.10254051202374
Bali & Nusa Tenggara,1971,6619074,5.552531109240789
Bali & Nusa Tenggara,1980,7931760,5.377818139604003
Bali & Nusa Tenggara,1990,9416104,5.249280481333635
Bali & Nusa Tenggara,1995,10118834,5.195678660729136
Bali & Nusa Tenggara,2000,11112702,5.387595481425205
Bali & Nusa Tenggara,2010,13074796,5.501903317943951
Bali & Nusa Tenggara,2020,14963062,5.537692482822149
Kalimantan,1971,5154774,4.324176311687341
Kalimantan,1980,6723086,4.558324236350788
Kalimantan,1990,9099874,5.072988889119685
Kalimantan,1995,10470843,5.376423364089682
Kalimantan,2000,11331558,5.493699973085541
Kalimantan,2010,13787831,5.801950036249166
Kalimantan,2020,15923982,5.893320191949697
Sulawesi,1971,8526901,7.152946630890725
Sulawesi,1980,10409533,7.057774742580017
Sulawesi,1990,12520711,6.980033766058588
Sulawesi,1995,13732449,7.051147615313303
Sulawesi,2000,14946488,7.246269288241154
Sulawesi,2010,17371782,7.310084610451972
Sulawesi,2020,19896951,7.363679705649863
Maluku & Papua,1971,2013005,1.688646007818806
Maluku & Papua,1980,2584881,1.7525769728934986
Maluku & Papua,1990,3506498,1.954799087736863
Maluku & Papua,1995,4029143,2.068828513851119
Maluku & Papua,2000,4211532,2.041810423160601
Maluku & Papua,2010,6165396,2.594412387683782
Maluku & Papua,2020,8569635,3.171543586468437
