province_id,province_en
Aceh,Aceh
Sumatera Utara,North Sumatra
Sumatera Barat,West Sumatra
Riau,Riau
Jambi,Jambi
Sumatera Selatan,South Sumatra
Bengkulu,Bengkulu
Lampung,Lampung
Kepulauan Bangka Belitung,Bangka Belitung Islands
Kepulauan Riau,Riau Islands
DKI Jakarta,Jakarta
Jawa Barat,West Java
Jawa Tengah,Central Java
D.I. Yogyakarta,Yogyakarta
Jawa Timur,East Java
Banten,Banten
Bali,Bali
Nusa Tenggara Barat,West Nusa Tenggara
Nusa Tenggara Timur,East Nusa Tenggara
Kalimantan Barat,West Kalimantan
Kalimantan Tengah,Central Kalimantan
Kalimantan Selatan,South Kalimantan
Kalimantan Timur,East Kalimantan
Kalimantan Utara,North Kalimantan
Sulawesi Utara,North Sulawesi
Sulawesi Tengah,Central Sulawesi
Sulawesi Selatan,South Sulawesi
Sulawesi Tenggara,Southeast Sulawesi
Gorontalo,Gorontalo
Sulawesi Barat,West Sulawesi
Maluku,Maluku
Maluku Utara,North Maluku
Papua Barat,West Papua
Papua,Papua
