province,2020-02-01,2020-08-01,2021-02-01,growth_annual,growth_monthly,wage_minimum_2021
Aceh,2549421,2394965,2317419,-9.1,-3.24,3165031
Sumatera Utara,2435961,2384060,2402795,-1.36,0.79,2499423
Sumatera Barat,2769314,2660533,2831081,2.23,6.41,2484041
Riau,2776192,2692523,2732853,-1.56,1.5,2888564
Jambi,2433050,2205868,2219533,-8.78,0.62,2630162
Sumatera Selatan,2256548,2231143,2348034,4.05,5.24,3144446
Bengkulu,2548631,2540846,2642795,3.69,4.01,2215000
Lampung,2329137,2185101,2246936,-3.53,2.83,2432002
Kepulauan Bangka Belitung,2911181,2436156,2869375,-1.44,17.78,3230024
Kepulauan Riau,3972618,4186844,4302611,8.31,2.77,3005460
DKI Jakarta,4560084,4224720,4116037,-9.74,-2.57,4416187
Jawa Barat,3209924,3073294,3200132,-0.31,4.13,1810351
Jawa Tengah,2251787,2088172,2186275,-2.91,4.7,1798979
D.I. Yogyakarta,2450742,2308710,2189389,-10.66,-5.17,1765000
Jawa Timur,2417761,2389494,2552845,5.59,6.84,1868777
Banten,3951349,3693411,3959468,0.21,7.2,2460997
Bali,3082389,2446534,2609873,-15.33,6.68,2494000
Nusa Tenggara Barat,2465709,2169679,2209681,-10.38,1.84,2183883
Nusa Tenggara Timur,2236482,2167121,2267844,1.4,4.65,1950000
Kalimantan Barat,2538895,2400905,2421429,-4.63,0.85,2399699
Kalimantan Tengah,3143525,2934082,3090231,-1.7,5.32,2903145
Kalimantan Selatan,2976567,2651958,2894182,-2.77,9.13,2877449
Kalimantan Timur,3886706,3640294,3525601,-9.29,-3.15,2981379
Kalimantan Utara,3703403,3340249,3109418,-16.04,-6.91,3000804
Sulawesi Utara,3213604,3106020,3247838,1.07,4.57,3310723
Sulawesi Tengah,2447650,2498933,2352948,-3.87,-5.84,2303711
Sulawesi Selatan,3066598,2792616,3040372,-0.86,8.87,3165876
Sulawesi Tenggara,2755928,2574589,2544107,-7.69,-1.18,2552015
Gorontalo,2434251,2228459,2623953,7.79,17.75,2788826
Sulawesi Barat,2217066,2068690,1942230,-12.4,-6.11,2678863
Maluku,2879275,2766573,3030049,5.24,9.52,2604961
Maluku Utara,2884292,2869968,2954122,2.42,2.93,2721530
Papua Barat,3208716,3307638,3390202,5.66,2.5,3134600
Papua,3967325,3977594,4039048,1.81,1.55,3516700
Indonesia,2911540,2756345,2860630,-1.75,3.78,2687724
