province,wage_minimum_2021,date,wage_nominal
Aceh,3165031,2020-02-01,2549421
Aceh,3165031,2021-02-01,2317419
North Sumatra,2499423,2020-02-01,2435961
North Sumatra,2499423,2021-02-01,2402795
West Sumatra,2484041,2020-02-01,2769314
West Sumatra,2484041,2021-02-01,2831081
Riau,2888564,2020-02-01,2776192
Riau,2888564,2021-02-01,2732853
Jambi,2630162,2020-02-01,2433050
Jambi,2630162,2021-02-01,2219533
South Sumatra,3144446,2020-02-01,2256548
South Sumatra,3144446,2021-02-01,2348034
Bengkulu,2215000,2020-02-01,2548631
Bengkulu,2215000,2021-02-01,2642795
Lampung,2432002,2020-02-01,2329137
Lampung,2432002,2021-02-01,2246936
Bangka Belitung Islands,3230024,2020-02-01,2911181
Bangka Belitung Islands,3230024,2021-02-01,2869375
Riau Islands,3005460,2020-02-01,3972618
Riau Islands,3005460,2021-02-01,4302611
Jakarta,4416187,2020-02-01,4560084
Jakarta,4416187,2021-02-01,4116037
West Java,1810351,2020-02-01,3209924
West Java,1810351,2021-02-01,3200132
Central Java,1798979,2020-02-01,2251787
Central Java,1798979,2021-02-01,2186275
Yogyakarta,1765000,2020-02-01,2450742
Yogyakarta,1765000,2021-02-01,2189389
East Java,1868777,2020-02-01,2417761
East Java,1868777,2021-02-01,2552845
Banten,2460997,2020-02-01,3951349
Banten,2460997,2021-02-01,3959468
Bali,2494000,2020-02-01,3082389
Bali,2494000,2021-02-01,2609873
West Nusa Tenggara,2183883,2020-02-01,2465709
West Nusa Tenggara,2183883,2021-02-01,2209681
East Nusa Tenggara,1950000,2020-02-01,2236482
East Nusa Tenggara,1950000,2021-02-01,2267844
West Kalimantan,2399699,2020-02-01,2538895
West Kalimantan,2399699,2021-02-01,2421429
Central Kalimantan,2903145,2020-02-01,3143525
Central Kalimantan,2903145,2021-02-01,3090231
South Kalimantan,2877449,2020-02-01,2976567
South Kalimantan,2877449,2021-02-01,2894182
East Kalimantan,2981379,2020-02-01,3886706
East Kalimantan,2981379,2021-02-01,3525601
North Kalimantan,3000804,2020-02-01,3703403
North Kalimantan,3000804,2021-02-01,3109418
North Sulawesi,3310723,2020-02-01,3213604
North Sulawesi,3310723,2021-02-01,3247838
Central Sulawesi,2303711,2020-02-01,2447650
Central Sulawesi,2303711,2021-02-01,2352948
South Sulawesi,3165876,2020-02-01,3066598
South Sulawesi,3165876,2021-02-01,3040372
Southeast Sulawesi,2552015,2020-02-01,2755928
Southeast Sulawesi,2552015,2021-02-01,2544107
Gorontalo,2788826,2020-02-01,2434251
Gorontalo,2788826,2021-02-01,2623953
West Sulawesi,2678863,2020-02-01,2217066
West Sulawesi,2678863,2021-02-01,1942230
Maluku,2604961,2020-02-01,2879275
Maluku,2604961,2021-02-01,3030049
North Maluku,2721530,2020-02-01,2884292
North Maluku,2721530,2021-02-01,2954122
West Papua,3134600,2020-02-01,3208716
West Papua,3134600,2021-02-01,3390202
Papua,3516700,2020-02-01,3967325
Papua,3516700,2021-02-01,4039048
Indonesia,2687724,2020-02-01,2911540
Indonesia,2687724,2021-02-01,2860630
