province,urban,rural,overall
Aceh,934931.95,772162.92,853775.4
North Sumatra,2043566.51,850000,2021410.32
West Sumatra,739290.23,1008105.83,790714.57
Riau,2591567.56,652405.94,2356089.05
Jambi,1888042.35,,1888042.35
South Sumatra,1925220.23,936521.74,1209343.76
Bengkulu,1700000,591552.39,1339079.18
Lampung,2253235.06,,2253235.06
Bangka Belitung Islands,1030000,,1030000
Riau Islands,3055107.18,,3055107.18
DKI Jakarta,6000000,,6000000
West Java,1862161.46,881319.39,1831254.03
Central Java,2055833.97,1022359.91,1773847.4
DI Yogyakarta,5601834.86,,5601834.86
East Java,2275019.55,1000000,2255267.23
Banten,952380.88,741478.89,927248.55
Bali,4310025.27,2700000,3705842.11
West Nusa Tenggara,,,
East Nusa Tenggara,1200000,1376910.3,1373735.73
West Kalimantan,4009932.55,1204424.78,3096600.45
Central Kalimantan,1221527.03,898306.56,1051065.6
South Kalimantan,1218978.6,2445338.53,1370361.85
East Kalimantan,1579486.8,931000,1512842.42
North Kalimantan,3500000,,3500000
North Sulawesi,683905.33,,683905.33
Central Sulawesi,744959.04,,744959.04
South Sulawesi,958160.46,954602.97,957722.67
Southeast Sulawesi,1244989.34,978651.28,1132973.17
Gorontalo,1200000,795836.72,931781.4
West Sulawesi,699019.9,,699019.9
Maluku,,,
North Maluku,,,
West Papua,2500000,,2500000
Papua,2012912.23,,2012912.23
Indonesia,1827053.32,1013902.57,1716271.3
