province,year,homeownership_index
Indonesia,1999,100
Indonesia,2000,99.64697575900212
Indonesia,2001,94.97528830313013
Indonesia,2002,97.04636385031772
Indonesia,2003,98.44669333960931
Indonesia,2004,96.94045657801836
Indonesia,2005,96.43445516592139
Indonesia,2006,95.5989644622264
Indonesia,2007,93.0336549776418
Indonesia,2008,93.25723699694045
Indonesia,2009,93.38667921863969
Indonesia,2010,91.78630265944928
Indonesia,2011,93.22193457284065
Indonesia,2012,95.18710284772888
Indonesia,2013,94.2339373970346
Indonesia,2014,93.86914568133678
Indonesia,2015,97.23464344551658
Indonesia,2016,97.17580607201694
Indonesia,2017,93.68086608613791
Indonesia,2018,94.16333254883502
Indonesia,2019,94.22216992233466
Indonesia,2020,94.25747234643444
Jambi,1999,100
Jambi,2000,102.24492369781812
Jambi,2001,95.38403329549753
Jambi,2002,98.14604615966704
Jambi,2003,98.8018665657712
Jambi,2004,97.09925589607768
Jambi,2005,97.64156892420229
Jambi,2006,97.79291209484172
Jambi,2007,94.66515323496026
Jambi,2008,95.05612309244546
Jambi,2009,96.44343548997351
Jambi,2010,97.08664396519107
Jambi,2011,98.3982847773994
Jambi,2012,99.43246311010215
Jambi,2013,100.80716357674359
Jambi,2014,101.37470046664143
Jambi,2015,105.8645478622777
Jambi,2016,106.10417454912347
Jambi,2017,102.64850548618993
Jambi,2018,105.48618993567915
Jambi,2019,103.74574347332577
Jambi,2020,106.34380123596921
Bengkulu,1999,100
Bengkulu,2000,105.1056109887262
Bengkulu,2001,104.67798367241157
Bengkulu,2002,105.6369055332383
Bengkulu,2003,105.04081897110275
Bengkulu,2004,101.85305170403005
Bengkulu,2005,103.35622651289363
Bengkulu,2006,99.90929117532718
Bengkulu,2007,98.19878191006867
Bengkulu,2008,97.69340417260594
Bengkulu,2009,100.24620966696902
Bengkulu,2010,101.14033951017234
Bengkulu,2011,102.56576389788779
Bengkulu,2012,104.39289879486849
Bengkulu,2013,105.28702863807177
Bengkulu,2014,104.49656602306597
Bengkulu,2015,110.8202669431126
Bengkulu,2016,109.20046650252688
Bengkulu,2017,104.74277569003499
Bengkulu,2018,108.06012699235454
Bengkulu,2019,107.19191395620061
Bengkulu,2020,108.28041985227419
Jakarta,1999,100
Jakarta,2000,94.91059147180192
Jakarta,2001,78.58780375974324
Jakarta,2002,90.52422436191348
Jakarta,2003,86.4588109429925
Jakarta,2004,84.4413877426257
Jakarta,2005,81.46110346935656
Jakarta,2006,79.0004585052728
Jakarta,2007,72.99403943145344
Jakarta,2008,76.81491670487543
Jakarta,2009,73.39141066788935
Jakarta,2010,69.06617759437566
Jakarta,2011,73.28442610423352
Jakarta,2012,86.48937796117988
Jakarta,2013,72.22986397676905
Jakarta,2014,72.99403943145344
Jakarta,2015,78.08344795965154
Jakarta,2016,76.66208161393855
Jakarta,2017,73.86519944979366
Jakarta,2018,73.13159101329664
Jakarta,2019,72.01589484945742
Jakarta,2020,68.83692495797035
Bali,1999,100
Bali,2000,99.24053637118784
Bali,2001,93.437759582295
Bali,2002,94.0310905423045
Bali,2003,99.26426960958824
Bali,2004,94.29215616470867
Bali,2005,93.78189153910051
Bali,2006,91.38483446066216
Bali,2007,87.64684941260235
Bali,2008,91.50350065266406
Bali,2009,91.18310193425894
Bali,2010,84.58526165895337
Bali,2011,83.42233297733476
Bali,2012,90.38803844784621
Bali,2013,85.86685653257388
Bali,2014,82.82900201732527
Bali,2015,91.74083303666785
Bali,2016,87.87231517740595
Bali,2017,83.70713183813933
Bali,2018,85.1429927613623
Bali,2019,86.48392073098374
Bali,2020,84.45472884775128
