category_second,category_fourth,date,import_total_category_fourth,import_change_yoy,contribution_change_category_second
Raw materials,Food and beverages,2018-01-01,675753.33,15.04692461294371,1.0403761028390501
Raw materials,Food and beverages,2018-02-01,559066.43,-22.275994787632843,-1.9568755452765547
Raw materials,Food and beverages,2018-03-01,662125.17,-14.439060752599584,-1.224956125378587
Raw materials,Food and beverages,2018-04-01,760444.86,-1.1520270002830733,-0.10235529682363927
Raw materials,Food and beverages,2018-05-01,818192.3300000001,8.878287890305446,0.6714063442876675
Raw materials,Food and beverages,2018-06-01,606074.82,-9.29123261918028,-0.8835460834378783
Raw materials,Food and beverages,2018-07-01,792336.1499999999,8.142353228839612,0.6170025811008664
Raw materials,Food and beverages,2018-08-01,703343.2,-2.2778668017010197,-0.17526673124067071
Raw materials,Food and beverages,2018-09-01,735650.3899999999,-3.7671960368509803,-0.31660813559208467
Raw materials,Food and beverages,2018-10-01,922160.79,8.850866531996845,0.7390731932947985
Raw materials,Food and beverages,2018-11-01,761751.56,8.654869308607564,0.5922662336959619
Raw materials,Food and beverages,2018-12-01,722708.29,3.379619368818526,0.2278710543291
Raw materials,Food and beverages,2019-01-01,628260.4,-7.028145906435998,-0.43460408177354676
Raw materials,Food and beverages,2019-02-01,749272.5800000001,34.02210180997633,1.9325886745686645
Raw materials,Food and beverages,2019-03-01,920128.4500000001,38.96593751299321,2.5530104481465417
Raw materials,Food and beverages,2019-04-01,806518.75,6.058807472247234,0.405171475645442
Raw materials,Food and beverages,2019-05-01,802821.01,-1.878692751861908,-0.1271704610231025
Raw materials,Food and beverages,2019-06-01,621013.11,2.464760043982695,0.20282863714384441
Raw materials,Food and beverages,2019-07-01,709230.5700000001,-10.488677059604038,-0.6508465265685158
Raw materials,Food and beverages,2019-08-01,695275.29,-1.1470801167907667,-0.07152460228240438
Raw materials,Food and beverages,2019-09-01,710740.8099999999,-3.38606222991331,-0.23831748767189648
Raw materials,Food and beverages,2019-10-01,773685.57,-16.100795176945233,-1.237253439795709
Raw materials,Food and beverages,2019-11-01,641570.69,-15.776911569436116,-1.0098189367085557
Raw materials,Food and beverages,2019-12-01,704077.03,-2.5779779003226886,-0.17538971477214294
Raw materials,Food and beverages,2020-01-01,555235.52,-11.623345988383162,-0.6733492833174266
Raw materials,Food and beverages,2020-02-01,883070.9299999999,17.857099481739986,1.5477673673766232
Raw materials,Food and beverages,2020-03-01,942050.76,2.3825271352059527,0.2209234490344357
