year,country,category,wealth_distribution,wealth_distribution_cumulative
2019,Indonesia,decile 1,-0.1,-0.1
2019,Indonesia,decile 2,0.2,0.1
2019,Indonesia,decile 3,0.5,0.6
2019,Indonesia,decile 4,0.9,1.5
2019,Indonesia,decile 5,1.5,3
2019,Indonesia,decile 6,2.2,5.2
2019,Indonesia,decile 7,3.2,8.4
2019,Indonesia,decile 8,5.9,14.3
2019,Indonesia,decile 9,11.7,26
2019,Indonesia,decile 10,74.1,100
2020,Indonesia,decile 1,-0.1,-0.1
2020,Indonesia,decile 2,0.3,0.19999999999999998
2020,Indonesia,decile 3,0.6,0.7999999999999999
2020,Indonesia,decile 4,1.3,2.1
2020,Indonesia,decile 5,2.2,4.3
2020,Indonesia,decile 6,3.3,7.6
2020,Indonesia,decile 7,5.1,12.7
2020,Indonesia,decile 8,8.3,21
2020,Indonesia,decile 9,12.8,33.800000000000004
2020,Indonesia,decile 10,66.2,100
