country,year,gdp_growth_forecast_revision
Argentina,2021,0.6000000000000005
Australia,2021,0.7999999999999998
Brazil,2021,1.5999999999999996
Canada,2021,1.2999999999999998
China,2021,-0.3000000000000007
Egypt,2021,0.2999999999999998
France,2021,0
Germany,2021,0
India,2021,-3
Indonesia,2021,-0.3999999999999999
Iran,2021,0
Italy,2021,0.7000000000000002
Japan,2021,-0.5
Kazakhstan,2021,0
South Korea,2021,0.6999999999999997
Malaysia,2021,-1.7999999999999998
Mexico,2021,1.2999999999999998
Netherlands,2021,-0.20000000000000018
Nigeria,2021,0
Pakistan,2021,2.4
Philippines,2021,-1.5
Poland,2021,1.0999999999999996
Russia,2021,0.6000000000000005
Saudi Arabia,2021,-0.5
South Africa,2021,0.8999999999999999
Spain,2021,-0.20000000000000018
Thailand,2021,-0.5
Turkey,2021,-0.20000000000000018
United Kingdom,2021,1.7000000000000002
United States,2021,0.5999999999999996
