region,date,mobility_region_7day_moving_average
Java & Bali,2020-02-15,NA
Java & Bali,2020-02-16,NA
Java & Bali,2020-02-17,NA
Java & Bali,2020-02-18,NA
Java & Bali,2020-02-19,NA
Java & Bali,2020-02-20,NA
Java & Bali,2020-02-21,-1.7366019864734643
Java & Bali,2020-02-22,-1.6066521779618446
Java & Bali,2020-02-23,-1.4648887504946229
Java & Bali,2020-02-24,-1.4648887504946229
Java & Bali,2020-02-25,-1.571211321095039
Java & Bali,2020-02-26,-1.394007036761012
Java & Bali,2020-02-27,-1.1459210386933745
Java & Bali,2020-02-28,-0.8387669458477276
Java & Bali,2020-02-29,-0.8269533268921256
Java & Bali,2020-03-01,-0.7442579942029132
Java & Bali,2020-03-02,-0.09450895164481422
Java & Bali,2020-03-03,0.6143081856912936
Java & Bali,2020-03-04,0.7206307562917098
Java & Bali,2020-03-05,0.9923439922705511
Java & Bali,2020-03-06,1.1695482766045782
Java & Bali,2020-03-07,1.240429990338189
Java & Bali,2020-03-08,1.358566179894207
Java & Bali,2020-03-09,0.9214622785369404
Java & Bali,2020-03-10,0.9923439922705513
Java & Bali,2020-03-11,1.2876844661605962
Java & Bali,2020-03-12,1.1104801818265693
Java & Bali,2020-03-13,1.0514120870485602
Java & Bali,2020-03-14,0.6379354236024973
Java & Bali,2020-03-15,-0.1772042843340269
Java & Bali,2020-03-16,-0.8978350406257365
Java & Bali,2020-03-17,-2.0201288414079075
Java & Bali,2020-03-18,-3.2959996886129015
Java & Bali,2020-03-19,-4.949906342397154
Java & Bali,2020-03-20,-6.922780707982653
Java & Bali,2020-03-21,-8.635755456544915
Java & Bali,2020-03-22,-10.797647725420044
Java & Bali,2020-03-23,-12.4869952360711
Java & Bali,2020-03-24,-14.38898788792299
Java & Bali,2020-03-25,-17.035238533977793
Java & Bali,2020-03-26,-18.842722234184865
Java & Bali,2020-03-27,-20.18947479512347
Java & Bali,2020-03-28,-21.843381448907728
Java & Bali,2020-03-29,-23.0129297255123
Java & Bali,2020-03-30,-23.745374100759616
Java & Bali,2020-03-31,-24.12340990733887
Java & Bali,2020-04-01,-23.154693152979522
Java & Bali,2020-04-02,-22.68214839475545
Java & Bali,2020-04-03,-22.658521156844248
Java & Bali,2020-04-04,-22.52857134833263
Java & Bali,2020-04-05,-22.233230874442587
Java & Bali,2020-04-06,-22.115094684886568
Java & Bali,2020-04-07,-21.961517638463743
Java & Bali,2020-04-08,-22.162349160708974
Java & Bali,2020-04-09,-22.115094684886568
Java & Bali,2020-04-10,-22.764843727444664
Java & Bali,2020-04-11,-22.95386163073429
Java & Bali,2020-04-12,-23.166506771935126
Java & Bali,2020-04-13,-23.107438677157116
Java & Bali,2020-04-14,-23.237388485668735
Java & Bali,2020-04-15,-23.426406388958362
Java & Bali,2020-04-16,-23.686306005981606
Java & Bali,2020-04-17,-23.34371105626915
Java & Bali,2020-04-18,-23.438220007913966
Java & Bali,2020-04-19,-23.414592770002763
Java & Bali,2020-04-20,-23.544542578514385
Java & Bali,2020-04-21,-23.6508651491148
Java & Bali,2020-04-22,-23.568169816425588
Java & Bali,2020-04-23,-23.390965532091563
Java & Bali,2020-04-24,-24.147037145250074
Java & Bali,2020-04-25,-24.619581903474145
