country,share_of_respondents,ci_lower,ci_upper
China (mainland),61,58.535748427219026,63.464251572780974
Hong Kong,50,47.012417271836505,52.987582728163495
India,33,30.621188132127404,35.3788118678726
Indonesia,19,17.02973142939467,20.97026857060533
Kenya,17,15.158247827792842,18.84175217220716
Malaysia,28,25.267174150018715,30.732825849981285
Pakistan,44,41.53355391338053,46.46644608661947
Singapore,20,17.58740677680508,22.41259322319492
South Korea,38,35.107788264219906,40.892211735780094
Taiwan,46,42.972344188680694,49.027655811319306
United Arab Emirates,NA,NA,NA
United Kingdom,31,28.74851034301533,33.25148965698467
