iso_code,date,new_cases_smoothed,people_fully_vaccinated_per_hundred
IDN,2020-03-02,NA,NA
IDN,2020-03-03,NA,NA
IDN,2020-03-04,NA,NA
IDN,2020-03-05,NA,NA
IDN,2020-03-06,NA,NA
IDN,2020-03-07,0.571,NA
IDN,2020-03-08,0.857,NA
IDN,2020-03-09,2.429,NA
IDN,2020-03-10,3.571,NA
IDN,2020-03-11,4.571,NA
IDN,2020-03-12,4.571,NA
IDN,2020-03-13,9.286,NA
IDN,2020-03-14,13.143,NA
IDN,2020-03-15,15.857,NA
IDN,2020-03-16,16.429,NA
IDN,2020-03-17,20.714,NA
IDN,2020-03-18,27.571,NA
IDN,2020-03-19,39.571,NA
IDN,2020-03-20,42.857,NA
IDN,2020-03-21,50.571,NA
IDN,2020-03-22,56.714,NA
IDN,2020-03-23,63.571,NA
IDN,2020-03-24,73.429,NA
IDN,2020-03-25,80.429,NA
IDN,2020-03-26,83.143,NA
IDN,2020-03-27,96.714,NA
IDN,2020-03-28,100.714,NA
IDN,2020-03-29,110.143,NA
IDN,2020-03-30,119.286,NA
IDN,2020-03-31,120.286,NA
IDN,2020-04-01,126.714,NA
IDN,2020-04-02,128.143,NA
IDN,2020-04-03,134.286,NA
IDN,2020-04-04,133.857,NA
IDN,2020-04-05,141.143,NA
IDN,2020-04-06,153.857,NA
IDN,2020-04-07,172.857,NA
IDN,2020-04-08,182.714,NA
IDN,2020-04-09,214.714,NA
IDN,2020-04-10,218,NA
IDN,2020-04-11,250,NA
IDN,2020-04-12,281.143,NA
IDN,2020-04-13,295.143,NA
IDN,2020-04-14,300.143,NA
IDN,2020-04-15,311.429,NA
IDN,2020-04-16,317.571,NA
IDN,2020-04-17,344.429,NA
IDN,2020-04-18,343.714,NA
IDN,2020-04-19,333.429,NA
IDN,2020-04-20,314.714,NA
IDN,2020-04-21,328,NA
IDN,2020-04-22,326,NA
IDN,2020-04-23,322.714,NA
IDN,2020-04-24,326.857,NA
IDN,2020-04-25,337,NA
IDN,2020-04-26,329.571,NA
IDN,2020-04-27,333.714,NA
IDN,2020-04-28,339.429,NA
IDN,2020-04-29,336.143,NA
IDN,2020-04-30,334.714,NA
IDN,2020-05-01,334.286,NA
IDN,2020-05-02,319.429,NA
IDN,2020-05-03,330,NA
IDN,2020-05-04,355.857,NA
IDN,2020-05-05,365.714,NA
IDN,2020-05-06,381,NA
IDN,2020-05-07,379.714,NA
IDN,2020-05-08,365.857,NA
IDN,2020-05-09,400.286,NA
IDN,2020-05-10,405.714,NA
IDN,2020-05-11,382.571,NA
IDN,2020-05-12,382.571,NA
IDN,2020-05-13,428.571,NA
IDN,2020-05-14,461.429,NA
IDN,2020-05-15,483.429,NA
IDN,2020-05-16,482.857,NA
IDN,2020-05-17,497.429,NA
IDN,2020-05-18,535,NA
IDN,2020-05-19,535.286,NA
IDN,2020-05-20,535.857,NA
IDN,2020-05-21,593.714,NA
IDN,2020-05-22,614.286,NA
IDN,2020-05-23,674.286,NA
IDN,2020-05-24,679.571,NA
IDN,2020-05-25,677.143,NA
IDN,2020-05-26,667,NA
IDN,2020-05-27,666,NA
IDN,2020-05-28,625.143,NA
IDN,2020-05-29,631.429,NA
IDN,2020-05-30,575.429,NA
IDN,2020-05-31,600.286,NA
IDN,2020-06-01,598.571,NA
IDN,2020-06-02,626.286,NA
IDN,2020-06-03,626,NA
IDN,2020-06-04,611.429,NA
IDN,2020-06-05,615,NA
IDN,2020-06-06,677.286,NA
IDN,2020-06-07,673.286,NA
IDN,2020-06-08,727.571,NA
IDN,2020-06-09,789.571,NA
IDN,2020-06-10,869,NA
IDN,2020-06-11,925.286,NA
IDN,2020-06-12,983.571,NA
IDN,2020-06-13,986.571,NA
IDN,2020-06-14,1013,NA
IDN,2020-06-15,1037.286,NA
IDN,2020-06-16,1046.286,NA
IDN,2020-06-17,1016.429,NA
IDN,2020-06-18,1066.714,NA
IDN,2020-06-19,1056.714,NA
IDN,2020-06-20,1087,NA
IDN,2020-06-21,1087.714,NA
IDN,2020-06-22,1078.714,NA
IDN,2020-06-23,1070.857,NA
IDN,2020-06-24,1082.571,NA
IDN,2020-06-25,1060.714,NA
IDN,2020-06-26,1089.143,NA
IDN,2020-06-27,1111.857,NA
IDN,2020-06-28,1159.857,NA
IDN,2020-06-29,1178.143,NA
IDN,2020-06-30,1212.714,NA
IDN,2020-07-01,1251.571,NA
IDN,2020-07-02,1315.286,NA
IDN,2020-07-03,1324,NA
IDN,2020-07-04,1332.857,NA
IDN,2020-07-05,1391.286,NA
IDN,2020-07-06,1409.429,NA
IDN,2020-07-07,1405.857,NA
IDN,2020-07-08,1472.714,NA
IDN,2020-07-09,1620.286,NA
IDN,2020-07-10,1664.571,NA
IDN,2020-07-11,1696.571,NA
IDN,2020-07-12,1707.143,NA
IDN,2020-07-13,1717.571,NA
IDN,2020-07-14,1763.714,NA
IDN,2020-07-15,1716.429,NA
IDN,2020-07-16,1561.714,NA
IDN,2020-07-17,1540.429,NA
IDN,2020-07-18,1552,NA
IDN,2020-07-19,1546,NA
IDN,2020-07-20,1604.714,NA
IDN,2020-07-21,1613.857,NA
IDN,2020-07-22,1665.286,NA
IDN,2020-07-23,1712.714,NA
IDN,2020-07-24,1755.429,NA
IDN,2020-07-25,1772,NA
IDN,2020-07-26,1751,NA
IDN,2020-07-27,1727,NA
IDN,2020-07-28,1740.286,NA
IDN,2020-07-29,1811.571,NA
IDN,2020-07-30,1811.286,NA
IDN,2020-07-31,1851.143,NA
IDN,2020-08-01,1807.143,NA
IDN,2020-08-02,1811,NA
IDN,2020-08-03,1833,NA
IDN,2020-08-04,1857.857,NA
IDN,2020-08-05,1777,NA
IDN,2020-08-06,1773.857,NA
IDN,2020-08-07,1835.714,NA
IDN,2020-08-08,1938.143,NA
IDN,2020-08-09,1991.571,NA
IDN,2020-08-10,1992.714,NA
IDN,2020-08-11,1960,NA
IDN,2020-08-12,1978.143,NA
IDN,2020-08-13,2009,NA
IDN,2020-08-14,1985.286,NA
IDN,2020-08-15,1995,NA
IDN,2020-08-16,2021.857,NA
IDN,2020-08-17,2041,NA
IDN,2020-08-18,2038.143,NA
IDN,2020-08-19,2032.429,NA
IDN,2020-08-20,2056.429,NA
IDN,2020-08-21,2040.714,NA
IDN,2020-08-22,2004.286,NA
IDN,2020-08-23,1998,NA
IDN,2020-08-24,2006,NA
IDN,2020-08-25,2116.571,NA
IDN,2020-08-26,2174.286,NA
IDN,2020-08-27,2239,NA
IDN,2020-08-28,2354.143,NA
IDN,2020-08-29,2528.143,NA
IDN,2020-08-30,2645.429,NA
IDN,2020-08-31,2769.143,NA
IDN,2020-09-01,2816,NA
IDN,2020-09-02,2925.857,NA
IDN,2020-09-03,3054.857,NA
IDN,2020-09-04,3092.857,NA
IDN,2020-09-05,3067.143,NA
IDN,2020-09-06,3150.857,NA
IDN,2020-09-07,3170.429,NA
IDN,2020-09-08,3209.143,NA
IDN,2020-09-09,3242.286,NA
IDN,2020-09-10,3276.429,NA
IDN,2020-09-11,3343.286,NA
IDN,2020-09-12,3440.143,NA
IDN,2020-09-13,3467.571,NA
IDN,2020-09-14,3504.857,NA
IDN,2020-09-15,3570.714,NA
IDN,2020-09-16,3664.429,NA
IDN,2020-09-17,3632.143,NA
IDN,2020-09-18,3654.143,NA
IDN,2020-09-19,3705.857,NA
IDN,2020-09-20,3756.286,NA
IDN,2020-09-21,3904.143,NA
IDN,2020-09-22,3984.714,NA
IDN,2020-09-23,4056.429,NA
IDN,2020-09-24,4199.143,NA
IDN,2020-09-25,4332.286,NA
IDN,2020-09-26,4378.857,NA
IDN,2020-09-27,4362.429,NA
IDN,2020-09-28,4267.143,NA
IDN,2020-09-29,4257.286,NA
IDN,2020-09-30,4231.429,NA
IDN,2020-10-01,4165.714,NA
IDN,2020-10-02,4093.429,NA
IDN,2020-10-03,4023.857,NA
IDN,2020-10-04,4040.714,NA
IDN,2020-10-05,4056.857,NA
IDN,2020-10-06,4064.571,NA
IDN,2020-10-07,4100.857,NA
IDN,2020-10-08,4197.429,NA
IDN,2020-10-09,4165.571,NA
IDN,2020-10-10,4206.571,NA
IDN,2020-10-11,4278.714,NA
IDN,2020-10-12,4228,NA
IDN,2020-10-13,4206.571,NA
IDN,2020-10-14,4147.857,NA
IDN,2020-10-15,4085.143,NA
IDN,2020-10-16,4114.714,NA
IDN,2020-10-17,4115.714,NA
IDN,2020-10-18,4059.714,NA
IDN,2020-10-19,4074.857,NA
IDN,2020-10-20,4031.429,NA
IDN,2020-10-21,4051.429,NA
IDN,2020-10-22,4054.429,NA
IDN,2020-10-23,4064.143,NA
IDN,2020-10-24,4031.143,NA
IDN,2020-10-25,3977.857,NA
IDN,2020-10-26,3956.286,NA
IDN,2020-10-27,3944.571,NA
IDN,2020-10-28,3910.571,NA
IDN,2020-10-29,3786.714,NA
IDN,2020-10-30,3576.429,NA
IDN,2020-10-31,3444,NA
IDN,2020-11-01,3296,NA
IDN,2020-11-02,3209.714,NA
IDN,2020-11-03,3131.571,NA
IDN,2020-11-04,3035.429,NA
IDN,2020-11-05,3106.857,NA
IDN,2020-11-06,3232.714,NA
IDN,2020-11-07,3392.571,NA
IDN,2020-11-08,3561.714,NA
IDN,2020-11-09,3595.286,NA
IDN,2020-11-10,3710.429,NA
IDN,2020-11-11,3769.571,NA
IDN,2020-11-12,3785,NA
IDN,2020-11-13,4023,NA
IDN,2020-11-14,4167.286,NA
IDN,2020-11-15,4199.571,NA
IDN,2020-11-16,4297,NA
IDN,2020-11-17,4301,NA
IDN,2020-11-18,4371.714,NA
IDN,2020-11-19,4461,NA
IDN,2020-11-20,4367.857,NA
IDN,2020-11-21,4328.714,NA
IDN,2020-11-22,4365,NA
IDN,2020-11-23,4494.571,NA
IDN,2020-11-24,4549.571,NA
IDN,2020-11-25,4730.857,NA
IDN,2020-11-26,4747.857,NA
IDN,2020-11-27,4895.857,NA
IDN,2020-11-28,4955.857,NA
IDN,2020-11-29,5228.286,NA
IDN,2020-11-30,5253.286,NA
IDN,2020-12-01,5381.857,NA
IDN,2020-12-02,5381.714,NA
IDN,2020-12-03,5874.857,NA
IDN,2020-12-04,5871.286,NA
IDN,2020-12-05,5958.286,NA
IDN,2020-12-06,5932.857,NA
IDN,2020-12-07,6095.286,NA
IDN,2020-12-08,6123.857,NA
IDN,2020-12-09,6198.857,NA
IDN,2020-12-10,5865.143,NA
IDN,2020-12-11,5937.571,NA
IDN,2020-12-12,5989.143,NA
IDN,2020-12-13,6003.429,NA
IDN,2020-12-14,5965.571,NA
IDN,2020-12-15,6083.857,NA
IDN,2020-12-16,6179.143,NA
IDN,2020-12-17,6367.857,NA
IDN,2020-12-18,6422,NA
IDN,2020-12-19,6616.714,NA
IDN,2020-12-20,6730,NA
IDN,2020-12-21,6924.143,NA
IDN,2020-12-22,6956.571,NA
IDN,2020-12-23,7069.286,NA
IDN,2020-12-24,7047.143,NA
IDN,2020-12-25,7128.571,NA
IDN,2020-12-26,6984.143,NA
IDN,2020-12-27,6919.286,NA
IDN,2020-12-28,6777.286,NA
IDN,2020-12-29,6999.571,NA
IDN,2020-12-30,7069.286,NA
IDN,2020-12-31,7194.286,NA
IDN,2021-01-01,7310.429,NA
IDN,2021-01-02,7376.571,NA
IDN,2021-01-03,7426.429,NA
IDN,2021-01-04,7554.857,NA
IDN,2021-01-05,7489.429,NA
IDN,2021-01-06,7611.143,NA
IDN,2021-01-07,7789.286,NA
IDN,2021-01-08,8152.857,NA
IDN,2021-01-09,8559,NA
IDN,2021-01-10,8953.714,NA
IDN,2021-01-11,9230.714,NA
IDN,2021-01-12,9602.429,NA
IDN,2021-01-13,9948.714,NA
IDN,2021-01-14,10268.143,NA
IDN,2021-01-15,10582.571,NA
IDN,2021-01-16,11179.429,NA
IDN,2021-01-17,11414.714,NA
IDN,2021-01-18,11471,NA
IDN,2021-01-19,11516.429,NA
IDN,2021-01-20,11700.714,NA
IDN,2021-01-21,11721.571,NA
IDN,2021-01-22,11837.857,NA
IDN,2021-01-23,11547.429,NA
IDN,2021-01-24,11619,NA
IDN,2021-01-25,11748.714,NA
IDN,2021-01-26,12138.571,NA
IDN,2021-01-27,12050,NA
IDN,2021-01-28,12334.571,0
IDN,2021-01-29,12358.857,0
IDN,2021-01-30,12691.286,0.01
IDN,2021-01-31,12721.714,0.01
IDN,2021-02-01,12864.571,0.01
IDN,2021-02-02,12476.714,0.02
IDN,2021-02-03,12481.857,0.03
IDN,2021-02-04,12158.857,0.03
IDN,2021-02-05,11865.571,0.04
IDN,2021-02-06,11528.143,0.05
IDN,2021-02-07,11360.429,0.05
IDN,2021-02-08,10967.286,0.06
IDN,2021-02-09,10727.429,0.08
IDN,2021-02-10,10269.143,0.1
IDN,2021-02-11,9840.714,0.13
IDN,2021-02-12,9572.143,NA
IDN,2021-02-13,9099,0.15
IDN,2021-02-14,8518.714,0.15
IDN,2021-02-15,8264.429,0.17
IDN,2021-02-16,8454.286,0.19
IDN,2021-02-17,8584.429,0.22
IDN,2021-02-18,8670.714,0.23
