date,retail,transit,workplace
2020-02-15,-2,1,5
2020-02-16,-3,-4,2
2020-02-17,-3,-1,3
2020-02-18,-3,1,2
2020-02-19,-3,0,1
2020-02-20,-2,4,1
2020-02-21,-2,2,5
2020-02-22,0,1,5
2020-02-23,-2,-4,3
2020-02-24,-2,-1,4
2020-02-25,-5,-6,-2
2020-02-26,-2,0,3
2020-02-27,0,2,4
2020-02-28,1,3,5
2020-02-29,2,4,6
2020-03-01,1,0,3
2020-03-02,5,3,5
2020-03-03,3,2,5
2020-03-04,0,-1,4
2020-03-05,4,3,4
2020-03-06,2,3,6
2020-03-07,3,3,6
2020-03-08,1,-1,4
2020-03-09,2,1,5
2020-03-10,3,1,4
2020-03-11,3,1,4
2020-03-12,2,1,4
2020-03-13,2,1,6
2020-03-14,-2,-5,5
2020-03-15,-7,-12,4
2020-03-16,-7,-12,-8
2020-03-17,-9,-16,-13
2020-03-18,-11,-21,-16
2020-03-19,-16,-26,-17
2020-03-20,-19,-31,-18
2020-03-21,-23,-33,-11
2020-03-22,-32,-42,-7
2020-03-23,-27,-41,-27
2020-03-24,-29,-42,-31
2020-03-25,-38,-52,-59
2020-03-26,-34,-46,-34
2020-03-27,-36,-49,-33
2020-03-28,-42,-50,-23
2020-03-29,-47,-54,-15
2020-03-30,-36,-51,-34
2020-03-31,-35,-49,-35
2020-04-01,-31,-49,-35
2020-04-02,-33,-50,-35
2020-04-03,-35,-53,-34
2020-04-04,-40,-54,-25
2020-04-05,-43,-58,-17
2020-04-06,-34,-54,-34
2020-04-07,-33,-51,-35
2020-04-08,-34,-52,-36
2020-04-09,-31,-50,-35
2020-04-10,-43,-64,-60
2020-04-11,-43,-59,-30
2020-04-12,-46,-61,-17
2020-04-13,-33,-56,-35
2020-04-14,-34,-54,-36
2020-04-15,-35,-55,-36
2020-04-16,-34,-56,-36
2020-04-17,-38,-58,-35
2020-04-18,-43,-58,-24
2020-04-19,-45,-60,-14
2020-04-20,-34,-56,-34
2020-04-21,-35,-55,-36
2020-04-22,-34,-53,-36
2020-04-23,-32,-50,-37
2020-04-24,-49,-64,-43
2020-04-25,-50,-64,-30
2020-04-26,-53,-68,-18
2020-04-27,-43,-62,-36
2020-04-28,-43,-61,-38
2020-04-29,-42,-60,-37
2020-04-30,-40,-58,-36
2020-05-01,-44,-67,-59
2020-05-02,-46,-62,-28
2020-05-03,-48,-65,-14
2020-05-04,-38,-60,-35
2020-05-05,-39,-58,-36
2020-05-06,-38,-58,-36
2020-05-07,-44,-62,-58
2020-05-08,-44,-59,-35
2020-05-09,-48,-59,-26
2020-05-10,-48,-62,-12
2020-05-11,-39,-56,-34
2020-05-12,-38,-54,-35
2020-05-13,-37,-54,-34
2020-05-14,-36,-53,-34
2020-05-15,-36,-54,-32
2020-05-16,-37,-53,-22
2020-05-17,-40,-57,-8
2020-05-18,-33,-54,-33
2020-05-19,-29,-48,-34
2020-05-20,-26,-47,-34
2020-05-21,-24,-47,-57
2020-05-22,-27,-49,-46
2020-05-23,-35,-49,-39
2020-05-24,-51,-59,-24
2020-05-25,-40,-59,-70
2020-05-26,-36,-54,-48
2020-05-27,-32,-53,-42
2020-05-28,-32,-52,-38
2020-05-29,-33,-55,-35
2020-05-30,-37,-53,-23
2020-05-31,-37,-54,-5
2020-06-01,-28,-54,-56
2020-06-02,-27,-46,-28
2020-06-03,-27,-47,-29
2020-06-04,-27,-47,-28
2020-06-05,-30,-50,-26
2020-06-06,-31,-48,-16
2020-06-07,-32,-50,-3
2020-06-08,-24,-46,-24
2020-06-09,-26,-44,-25
2020-06-10,-24,-43,-25
2020-06-11,-23,-44,-25
2020-06-12,-26,-46,-23
2020-06-13,-28,-44,-14
2020-06-14,-29,-46,-1
2020-06-15,-21,-42,-23
2020-06-16,-22,-40,-24
2020-06-17,-22,-40,-24
2020-06-18,-22,-41,-24
2020-06-19,-24,-43,-23
2020-06-20,-25,-41,-13
2020-06-21,-28,-43,-1
2020-06-22,-21,-41,-25
2020-06-23,-22,-39,-26
2020-06-24,-22,-39,-25
2020-06-25,-21,-39,-25
2020-06-26,-23,-40,-23
2020-06-27,-23,-37,-14
2020-06-28,-26,-40,-1
2020-06-29,-19,-39,-24
2020-06-30,-17,-37,-24
2020-07-01,-16,-36,-24
2020-07-02,-17,-36,-25
2020-07-03,-18,-37,-23
2020-07-04,-18,-34,-15
2020-07-05,-20,-35,-2
2020-07-06,-18,-37,-25
2020-07-07,-14,-33,-25
2020-07-08,-16,-34,-24
2020-07-09,-16,-34,-24
2020-07-10,-18,-36,-22
2020-07-11,-19,-33,-12
2020-07-12,-20,-36,-1
2020-07-13,-16,-37,-22
2020-07-14,-18,-36,-23
2020-07-15,-17,-36,-22
2020-07-16,-17,-35,-22
2020-07-17,-19,-38,-21
2020-07-18,-19,-36,-11
2020-07-19,-21,-38,0
2020-07-20,-16,-37,-22
2020-07-21,-18,-36,-23
2020-07-22,-18,-37,-22
2020-07-23,-19,-37,-22
2020-07-24,-19,-37,-20
2020-07-25,-18,-33,-12
2020-07-26,-21,-37,0
2020-07-27,-16,-36,-22
2020-07-28,-16,-33,-23
2020-07-29,-14,-30,-24
2020-07-30,-7,-20,-26
2020-07-31,-29,-45,-62
2020-08-01,-22,-37,-26
2020-08-02,-20,-29,-5
2020-08-03,-13,-31,-24
2020-08-04,-14,-31,-24
2020-08-05,-13,-32,-24
2020-08-06,-13,-32,-24
2020-08-07,-15,-33,-21
2020-08-08,-15,-29,-12
2020-08-09,-17,-32,-1
2020-08-10,-11,-32,-22
2020-08-11,-15,-32,-23
2020-08-12,-12,-32,-23
2020-08-13,-15,-33,-23
2020-08-14,-14,-31,-21
2020-08-15,-14,-24,-12
2020-08-16,-15,-30,-1
2020-08-17,-11,-37,-57
2020-08-18,-14,-31,-22
2020-08-19,-11,-28,-22
2020-08-20,-12,-33,-53
2020-08-21,-15,-38,-37
2020-08-22,-18,-33,-13
2020-08-23,-21,-32,1
2020-08-24,-14,-33,-20
2020-08-25,-14,-32,-21
2020-08-26,-14,-33,-21
2020-08-27,-13,-32,-21
2020-08-28,-15,-33,-19
2020-08-29,-15,-30,-9
2020-08-30,-15,-32,2
2020-08-31,-12,-33,-20
2020-09-01,-11,-31,-21
2020-09-02,-12,-32,-22
2020-09-03,-13,-32,-22
2020-09-04,-13,-33,-20
2020-09-05,-13,-30,-12
2020-09-06,-14,-32,-1
2020-09-07,-11,-33,-22
2020-09-08,-12,-32,-23
2020-09-09,-13,-33,-22
2020-09-10,-13,-32,-22
2020-09-11,-14,-33,-21
2020-09-12,-14,-30,-12
2020-09-13,-17,-33,-2
2020-09-14,-16,-41,-22
2020-09-15,-17,-40,-23
2020-09-16,-15,-39,-23
2020-09-17,-16,-39,-23
2020-09-18,-19,-41,-21
2020-09-19,-19,-39,-12
2020-09-20,-24,-44,-3
2020-09-21,-19,-41,-23
2020-09-22,-22,-40,-25
2020-09-23,-23,-39,-25
2020-09-24,-23,-38,-25
2020-09-25,-24,-39,-24
2020-09-26,-24,-36,-14
2020-09-27,-26,-39,-6
2020-09-28,-21,-38,-24
2020-09-29,-22,-36,-25
2020-09-30,-20,-35,-26
2020-10-01,-20,-34,-26
2020-10-02,-20,-36,-25
2020-10-03,-19,-32,-18
2020-10-04,-20,-33,-12
2020-10-05,-17,-35,-27
2020-10-06,-19,-34,-28
2020-10-07,-18,-35,-26
2020-10-08,-18,-32,-25
2020-10-09,-20,-38,-23
2020-10-10,-22,-35,-14
2020-10-11,-19,-35,-5
2020-10-12,-17,-35,-23
2020-10-13,-19,-36,-25
2020-10-14,-16,-35,-23
2020-10-15,-16,-32,-23
2020-10-16,-20,-35,-22
2020-10-17,-17,-29,-13
2020-10-18,-19,-31,-5
2020-10-19,-20,-34,-23
2020-10-20,-19,-32,-24
2020-10-21,-20,-34,-24
2020-10-22,-17,-31,-25
2020-10-23,-18,-32,-23
2020-10-24,-18,-28,-14
2020-10-25,-19,-30,-8
