year,trade_flow,partner,trade_value_usd,share_of_total
2017,Import,China,35767202518,0.22792526940216437
2017,Import,USA,8150221365,0.05193700567915634
2017,Import,Other,113007706059,0.7201377249186793
2017,Export,China,23049295902,0.13653983792633587
2017,Export,USA,17810479989,0.10550604501881101
2017,Export,Other,127950267039,0.7579541170548532
2018,Import,China,45537814908,0.24130958711962353
2018,Import,USA,10212388449,0.054116501749416845
2018,Import,Other,132960968261,0.7045739111309596
2018,Export,China,27126932415,0.15052535710877718
2018,Export,USA,18471771383,0.10249850374973796
2018,Export,Other,134616330639,0.7469761391414849
2019,Import,China,44930598575,0.26232907701988256
2019,Import,USA,9319161007,0.054410290160840334
2019,Import,Other,117025949102,0.6832606328192772
2019,Export,China,27961887182,0.16675445688620946
2019,Export,USA,17873579643,0.10659148456544526
2019,Export,Other,121847530704,0.7266540585483453
2020,Import,China,39634699181,0.2799678321349974
2020,Import,USA,8641916207,0.06104394876108771
2020,Import,Other,93292145847,0.6589882191039149
2020,Export,China,31775692292,0.1945770386482554
2020,Export,USA,18666861686,0.1143056973972808
2020,Export,Other,112863931272,0.6911172639544638
2012,Import,China,29387066842,0.1533044375265255
2012,Import,USA,11614234745,0.060588344337194754
2012,Import,Other,150689606492,0.7861072181362797
2012,Export,China,21659502652,0.11397828247785931
2012,Export,USA,14910181324,0.078461490369727
2012,Export,Other,153462155258,0.8075602271524137
2013,Import,China,29849460256,0.15994041298399364
2013,Import,USA,9081821487,0.048662530806925126
2013,Import,Other,147697348877,0.7913970562090812
2013,Export,China,22601487232,0.1238086552955349
2013,Export,USA,15741131921,0.08622832453296807
2013,Export,Other,144209135230,0.789963020171497
2014,Import,China,30624380094,0.17187391119514173
2014,Import,USA,8188541791,0.045956741011054174
2014,Import,Other,139366418313,0.7821693477938041
2014,Export,China,17605944452,0.10001320761794938
2014,Export,USA,16560075701,0.09407199334114266
2014,Export,Other,141870174179,0.8059147990409079
2015,Import,China,29411071328,0.2061117214995049
2015,Import,USA,7616760788,0.05337798343884271
2015,Import,Other,105666970072,0.7405102950616523
2015,Export,China,15046433812,0.10006521197049563
2015,Export,USA,16268488416,0.10819239709068364
2015,Export,Other,119051359077,0.7917423909388207
2016,Import,China,30800448755,0.22705354258981117
2016,Import,USA,7319183742,0.053955272233398036
2016,Import,Other,97533167295,0.7189911851767908
2016,Export,China,16785585024,0.11617142137456091
2016,Export,USA,16171284269,0.11191990486454476
2016,Export,Other,111532927125,0.7719086737608943
2010,Import,China,20424217014,0.15055081214151778
2010,Import,USA,9415996688,0.06940711350298237
2010,Import,Other,105823066512,0.7800420743554999
2010,Export,China,15692611103,0.09945937553120766
2010,Export,USA,14301875648,0.0906449291031708
2010,Export,Other,127784616719,0.8098956953656216
2011,Import,China,26212186253,0.14772792829648582
2011,Import,USA,10834043422,0.0610590346931879
2011,Import,Other,140389320632,0.7912130370103263
2011,Export,China,22941004929,0.11273408384315316
2011,Export,USA,16497615839,0.08107071215763992
2011,Export,Other,164057998417,0.806195203999207
1996,Import,China,1597517440,0.03721347786315684
1996,Import,USA,5059747840,0.11786463766993092
1996,Import,Other,36271198592,0.8449218844669122
1996,Export,China,2057466880,0.041302407679921486
1996,Export,USA,6794638848,0.1363982800724005
1996,Export,Other,40962590208,0.822299312247678
1997,Import,China,1517964544,0.036419717614057545
1997,Import,USA,5444225536,0.13062041365332513
1997,Import,Other,34717554944,0.8329598687326173
1997,Export,China,2229333760,0.04171378047661708
1997,Export,USA,7154457088,0.1338693459691783
1997,Export,Other,44059789056,0.8244168735542047
1998,Import,China,906223744,0.033150287708454435
1998,Import,USA,3522930432,0.12887121769970936
1998,Import,Other,22907674752,0.8379784945918363
1998,Export,China,1832031360,0.03750510506165527
1998,Export,USA,7045718528,0.14423902308500391
1998,Export,Other,39969769856,0.8182558718533408
1999,Import,China,1242141388,0.0517488845013898
1999,Import,USA,2840599530,0.11834229050958259
1999,Import,Other,19920508620,0.8299088249890276
1999,Export,China,2008915480,0.041280143095947686
1999,Export,USA,6907973718,0.14194830316210502
1999,Export,Other,39748530283,0.8167715537419473
2000,Import,China,2021971014,0.06033068144287946
2000,Import,USA,3392763513,0.10123178487554106
2000,Import,Other,28100070306,0.8384375336815795
2000,Export,China,2767707562,0.04455133689060471
2000,Export,USA,8488730739,0.13664171320670074
2000,Export,Other,50867568635,0.8188069499026945
2001,Import,China,1842680215,0.059513979025557044
2001,Import,USA,3209693176,0.10366509109934605
2001,Import,Other,25909767692,0.8368209298750969
2001,Export,China,2200670391,0.03907657723081387
2001,Export,USA,7761327774,0.13781533364319787
2001,Export,Other,46354868535,0.8231080891259882
2002,Import,China,2427368621,0.0775793690383871
2002,Import,USA,2644085048,0.08450568567668464
2002,Import,Other,26217388340,0.8379149452849283
2002,Export,China,2902947738,0.05078745913527429
2002,Export,USA,7570467254,0.13244633765344666
2002,Export,Other,46685336153,0.816766203211279
2003,Import,China,2957468648,0.09085734962119664
2003,Import,USA,2702375350,0.08302054601616647
2003,Import,Other,26890837486,0.8261221043626369
2003,Export,China,3802530088,0.06227715316802673
2003,Export,USA,7386381444,0.12097282543460534
2003,Export,Other,49869275854,0.816750021397368
2004,Import,China,4101331096,0.08815416246626559
2004,Import,USA,3235508304,0.06954413531010553
2004,Import,Other,39187691958,0.8423017022236289
2004,Export,China,4604733108,0.06432766610047623
2004,Export,USA,8787069944,0.12275449805703753
2004,Export,Other,58190665070,0.8129178358424862
2005,Import,China,5842862513,0.10126123588316104
2005,Import,USA,3885796156,0.06734379257960069
2005,Import,Other,47972222246,0.8313949715372383
2005,Export,China,6662353805,0.0777767673122715
2005,Export,USA,9889195575,0.11544713560019648
2005,Export,Other,69108398124,0.8067760970875321
2006,Import,China,6636895111,0.10868491848340815
2006,Import,USA,4066342629,0.06658989026751136
2006,Import,Other,50362227493,0.8247251912490805
2006,Export,China,8343571337,0.08277466195135023
2006,Export,USA,11259135631,0.11169930813530088
2006,Export,Other,81195908699,0.8055260299133489
2007,Import,China,8557875734,0.11491179981670072
2007,Import,USA,4797495555,0.0644188892165645
