year,mva_share
1970,5.771445285832791
1971,6.0755732889237875
1972,6.391427156048082
1973,6.617734529658257
1974,7.1410983979345035
1975,7.6402423242054205
1976,7.83968234603457
1977,8.199848396755497
1978,8.882504400636003
1979,9.435383553505853
1980,10.49549260388629
1981,10.7107802165145
1982,10.604444498794251
1983,12.100305905731641
1984,13.80658965897236
1985,14.982964328631192
1986,15.465386260171329
1987,16.30289968355049
1988,17.26041620909113
1989,17.60829650641885
1990,18.083864146038746
1991,18.356439794293465
1992,18.86283104561301
1993,19.588117539810483
1994,20.46643985527843
1995,20.96850447807878
1996,21.702563934973192
1997,21.816919248133598
1998,22.241366392320195
1999,22.931941244329554
2000,23.164746247516874
2001,23.08805943537252
2002,23.262310421412778
2003,23.38505505792564
2004,23.686093864052896
2005,23.44082535770586
2006,23.23735572594476
2007,22.870350565985607
2008,22.361987956259195
2009,21.833300961636752
2010,21.474927224637685
2011,21.49307317565963
2012,21.40990745642203
2013,21.16887561159962
2014,21.095818902033148
2015,20.98578743102056
2016,20.830630615948223
2017,20.676674728897883
2018,20.49968395603686
2019,20.261465051106445
2020,20.08306583661944
