sector,education,date,worker_share_edu
Accommodation and food service activities,Elementary school or lower,2021-08-01,34.10957546234671
Accommodation and food service activities,Junior high school,2021-08-01,21.832807935218085
Accommodation and food service activities,None,2021-08-01,0.3967282257519874
Accommodation and food service activities,Senior high school,2021-08-01,37.70732892245821
Accommodation and food service activities,University,2021-08-01,3.841055995747434
Accommodation and food service activities,Vocational school,2021-08-01,2.112503458477573
Education,Elementary school or lower,2021-08-01,2.072469340510578
Education,Junior high school,2021-08-01,2.5998409027750817
Education,None,2021-08-01,0.0082105752208845
Education,Senior high school,2021-08-01,19.15605761759608
Education,University,2021-08-01,71.63939461719002
Education,Vocational school,2021-08-01,4.524026946707359
Financial and insurance activities,Elementary school or lower,2021-08-01,1.2314393809006732
Financial and insurance activities,Junior high school,2021-08-01,3.4850310269400837
Financial and insurance activities,None,2021-08-01,0
Financial and insurance activities,Senior high school,2021-08-01,43.650570626578336
Financial and insurance activities,University,2021-08-01,43.02965630974994
Financial and insurance activities,Vocational school,2021-08-01,8.603302655830968
Human health and social work activities,Elementary school or lower,2021-08-01,6.7097401935441585
Human health and social work activities,Junior high school,2021-08-01,3.4364919575047512
Human health and social work activities,None,2021-08-01,0.19860485098264802
Human health and social work activities,Senior high school,2021-08-01,21.700720147379
Human health and social work activities,University,2021-08-01,31.121980878594364
Human health and social work activities,Vocational school,2021-08-01,36.83246197199508
Information and communication,Elementary school or lower,2021-08-01,4.16650387347613
Information and communication,Junior high school,2021-08-01,7.821586677606369
Information and communication,None,2021-08-01,0.04728516057419412
Information and communication,Senior high school,2021-08-01,48.54332653108248
Information and communication,University,2021-08-01,31.772722673535036
Information and communication,Vocational school,2021-08-01,7.648575083725791
Other services,Elementary school or lower,2021-08-01,37.96717942998113
Other services,Junior high school,2021-08-01,21.38678347779716
Other services,None,2021-08-01,0.6718533588944279
Other services,Senior high school,2021-08-01,33.48876898875089
Other services,University,2021-08-01,4.801728612601684
Other services,Vocational school,2021-08-01,1.6836861319747087
"Professional, scientific and technical activities",Elementary school or lower,2021-08-01,13.900105648239453
"Professional, scientific and technical activities",Junior high school,2021-08-01,12.844366906271521
"Professional, scientific and technical activities",None,2021-08-01,0.09741848452533401
"Professional, scientific and technical activities",Senior high school,2021-08-01,44.800852324980134
"Professional, scientific and technical activities",University,2021-08-01,23.44448955936603
"Professional, scientific and technical activities",Vocational school,2021-08-01,4.912767076617531
Public administration and defence; compulsory social security,Elementary school or lower,2021-08-01,2.4709526539602145
Public administration and defence; compulsory social security,Junior high school,2021-08-01,3.5103258829692017
Public administration and defence; compulsory social security,None,2021-08-01,0.02522179922375427
Public administration and defence; compulsory social security,Senior high school,2021-08-01,46.5418706614587
Public administration and defence; compulsory social security,University,2021-08-01,41.35733700695817
Public administration and defence; compulsory social security,Vocational school,2021-08-01,6.094291995429966
Real estate activities,Elementary school or lower,2021-08-01,20.104226657864054
Real estate activities,Junior high school,2021-08-01,11.897009453442148
Real estate activities,None,2021-08-01,0.01292298183759183
Real estate activities,Senior high school,2021-08-01,43.06583697377477
Real estate activities,University,2021-08-01,20.616089112387805
Real estate activities,Vocational school,2021-08-01,4.3039148206936275
Transportation and storage,Elementary school or lower,2021-08-01,25.441569210680914
Transportation and storage,Junior high school,2021-08-01,19.719126160479707
Transportation and storage,None,2021-08-01,0.213018681936802
Transportation and storage,Senior high school,2021-08-01,46.07936139953054
Transportation and storage,University,2021-08-01,6.091625220853493
Transportation and storage,Vocational school,2021-08-01,2.455299326518548
Wholesale and retail trade; repair of motor vehicles and motorcycles,Elementary school or lower,2021-08-01,28.41326836106933
Wholesale and retail trade; repair of motor vehicles and motorcycles,Junior high school,2021-08-01,19.78981672055334
Wholesale and retail trade; repair of motor vehicles and motorcycles,None,2021-08-01,0.4575089242313621
Wholesale and retail trade; repair of motor vehicles and motorcycles,Senior high school,2021-08-01,42.04293500455197
Wholesale and retail trade; repair of motor vehicles and motorcycles,University,2021-08-01,6.78523677432215
Wholesale and retail trade; repair of motor vehicles and motorcycles,Vocational school,2021-08-01,2.5112342152718496
